folder_name,pdf_name,path,type,converted,output_path
loc0e67b977508_slides,loc0e67b977508_slides.pdf,/home/wkolbe/workspace/pdfdrill-library/loc0e67b977508_slides/loc0e67b977508_slides.pdf,,no,
Integrating_Burkhard_Heims_Unified_Field_Theory_i,Integrating_Burkhard_Heims_Unified_Field_Theory_i.pdf,/home/wkolbe/workspace/pdfdrill-library/Integrating_Burkhard_Heims_Unified_Field_Theory_i/Integrating_Burkhard_Heims_Unified_Field_Theory_i.pdf,,no,
ExSheet6,ExSheet6.pdf,/home/wkolbe/workspace/pdfdrill-library/ExSheet6/ExSheet6.pdf,,no,
1205.3463v2,1205.3463v2.pdf,/home/wkolbe/workspace/pdfdrill-library/1205.3463v2/1205.3463v2.pdf,,yes,/home/wkolbe/workspace/pdfdrill-library/1205.3463v2/mmd-out/
2405.08011v1,2405.08011v1.pdf,/home/wkolbe/workspace/pdfdrill-library/2405.08011v1/2405.08011v1.pdf,,yes,/home/wkolbe/workspace/pdfdrill-library/2405.08011v1/mmd-out/
2405.15306,2405.15306.pdf,/home/wkolbe/workspace/pdfdrill-library/2405.15306/2405.15306.pdf,,no,
1-s2.0-S2590118426000171-main,1-s2.0-S2590118426000171-main.pdf,/home/wkolbe/workspace/pdfdrill-library/1-s2.0-S2590118426000171-main/1-s2.0-S2590118426000171-main.pdf,,no,
2403.14252v1,2403.14252v1.pdf,/home/wkolbe/workspace/pdfdrill-library/2403.14252v1/2403.14252v1.pdf,,no,
PhysRevX.15.021054,PhysRevX.15.021054.pdf,/home/wkolbe/workspace/pdfdrill-library/PhysRevX.15.021054/PhysRevX.15.021054.pdf,,no,
bommes_zimmer_2009_siggraph_011,bommes_zimmer_2009_siggraph_011.pdf,/home/wkolbe/workspace/pdfdrill-library/bommes_zimmer_2009_siggraph_011/bommes_zimmer_2009_siggraph_011.pdf,,no,
symbols-a4,symbols-a4.pdf,/home/wkolbe/workspace/pdfdrill-library/symbols-a4/symbols-a4.pdf,,no,
wzlxjtu-055,wzlxjtu-055.pdf,/home/wkolbe/workspace/pdfdrill-library/wzlxjtu-055/wzlxjtu-055.pdf,,no,
MITRES_8_001_lec_complete,MITRES_8_001_lec_complete.pdf,/home/wkolbe/workspace/pdfdrill-library/MITRES_8_001_lec_complete/MITRES_8_001_lec_complete.pdf,,no,
2023.wiesp-1.8,2023.wiesp-1.8.pdf,/home/wkolbe/workspace/pdfdrill-library/2023.wiesp-1.8/2023.wiesp-1.8.pdf,,no,
2303.17190,2303.17190.pdf,/home/wkolbe/workspace/pdfdrill-library/2303.17190/2303.17190.pdf,,no,
2002.06055,2002.06055.pdf,/home/wkolbe/workspace/pdfdrill-library/2002.06055/2002.06055.pdf,,no,
llm-subobject,llm-subobject.pdf,/home/wkolbe/workspace/pdfdrill-library/llm-subobject/llm-subobject.pdf,,no,
Heim_Theory_Reconstructed,Heim_Theory_Reconstructed.pdf,/home/wkolbe/workspace/pdfdrill-library/Heim_Theory_Reconstructed/Heim_Theory_Reconstructed.pdf,,no,
wzlxjtu-056,wzlxjtu-056.pdf,/home/wkolbe/workspace/pdfdrill-library/wzlxjtu-056/wzlxjtu-056.pdf,,no,
2503.04772v1,2503.04772v1.pdf,/home/wkolbe/workspace/pdfdrill-library/2503.04772v1/2503.04772v1.pdf,,no,
Derivation_of_O3_Electrodynamics_from_the_Irreduci,Derivation_of_O3_Electrodynamics_from_the_Irreduci.pdf,/home/wkolbe/workspace/pdfdrill-library/Derivation_of_O3_Electrodynamics_from_the_Irreduci/Derivation_of_O3_Electrodynamics_from_the_Irreduci.pdf,,no,
AIAA2006-4608LetterShortVersion,AIAA2006-4608LetterShortVersion.pdf,/home/wkolbe/workspace/pdfdrill-library/AIAA2006-4608LetterShortVersion/AIAA2006-4608LetterShortVersion.pdf,,no,
1805.08511,1805.08511.pdf,/home/wkolbe/workspace/pdfdrill-library/1805.08511/1805.08511.pdf,,yes,/home/wkolbe/workspace/pdfdrill-library/1805.08511/mmd-out/
2509.19446,2509.19446.pdf,/home/wkolbe/workspace/pdfdrill-library/2509.19446/2509.19446.pdf,,no,
SOPHIST_Broschuere_MASTeR,SOPHIST_Broschuere_MASTeR.pdf,/home/wkolbe/workspace/pdfdrill-library/SOPHIST_Broschuere_MASTeR/SOPHIST_Broschuere_MASTeR.pdf,,no,
Finite_Elements_and_Symmetry,Finite_Elements_and_Symmetry.pdf,/home/wkolbe/workspace/pdfdrill-library/Finite_Elements_and_Symmetry/Finite_Elements_and_Symmetry.pdf,,no,
p06,p06.pdf,/home/wkolbe/workspace/pdfdrill-library/p06/p06.pdf,,no,
CM2526_exercises_01,CM2526_exercises_01.pdf,/home/wkolbe/workspace/pdfdrill-library/CM2526_exercises_01/CM2526_exercises_01.pdf,,no,
2304.03442,2304.03442.pdf,/home/wkolbe/workspace/pdfdrill-library/2304.03442/2304.03442.pdf,,no,
1805.09782,1805.09782.pdf,/home/wkolbe/workspace/pdfdrill-library/1805.09782/1805.09782.pdf,,no,
fe901db790b36bc93b47bc24f37c1b5c_lec8,fe901db790b36bc93b47bc24f37c1b5c_lec8.pdf,/home/wkolbe/workspace/pdfdrill-library/fe901db790b36bc93b47bc24f37c1b5c_lec8/fe901db790b36bc93b47bc24f37c1b5c_lec8.pdf,,no,
09150083013_100172453DRW004B,09150083013_100172453DRW004B.pdf,/home/wkolbe/workspace/pdfdrill-library/09150083013_100172453DRW004B/09150083013_100172453DRW004B.pdf,,no,
